1,三角形の内角の和は？,180
2,五千円札に描かれている人物は誰？（令和2年時点）,樋口一葉
3,ドライアイスは何が固まったもの？,二酸化炭素
4,2019年現在における世界の人口は、約何億人？(整数),77
5,３大栄養素、炭水化物･たんぱく質と何？,脂肪
6,Ｘ線を発見した人物は誰？,レントゲン
7,ボーイスカウトの「スカウト」とはどういう意味？,斥候
8,日本の初代総理大臣は誰？,伊藤博文
9,名曲「荒城の月」の作曲者は誰？,滝廉太郎
10,数学で、円周の一部分のことを弧というが、では円周の２点を結んだ線を何という？,弦
11,日本でいちばん高い山は富士山。それでは2番目は？,北岳
12,「備長炭」はどこの県の特産品？,和歌山県
13,面積がいちばん小さい都道府県は？,香川県
14,甲子園球場がある都道府県は？,兵庫県
15,浦和市・大宮市・与野市が合併して誕生した市は？,さいたま市
16,4月29日（祝日）は何の日？,昭和の日
17,5月4日（祝日）は何の日？,みどりの日
18,「耳かき」のフサフサの部分の名前は？,梵天
19,炭素を含まない化合物を何という？,無機物
20,日本の最西端は？,与那国島
21,日本の最東端は？,南鳥島
22,日本の最北端は？,宗谷岬
23,日本の最南端は？,沖ノ鳥島
24,「かんぴょう」は何からできている？,夕顔
25,「ぎんなん」は何の種子？,イチョウ
26,100円ライターの中に入っているガスの名前は？,ブタン
27,1997年､香港はどこからどこへ返還された？(例:アメリカから日本),イギリスから中国
28,茶室の入り口が小さく作られた理由はあるものを持ち込ませないようにするためである。あるものとは？,刀
29,日本の国鳥は？[カタカナ],キジ
30,「桃太郎」が家来たちに与えた食べ物は何？,きびだんご
31,世界でいちばん深い湖は？[～湖],バイカル湖
32,海上自衛隊の船の乗組員が金曜日にカレーを食べるのはなぜ？[〇〇〇〇を保つため],曜日感覚
33,大きな動物病院で犬を飼っているのは何のため？[ほかの犬に〇〇をするため],輸血
34,インターネットのＷＷＷは何の略？[小文字空白区切りで],world wide web
35,大気中でもっとも軽い気体は？,水素
36,太陽の表面温度はおよそ何度？,6000
37,「電圧＝電流×抵抗」、これは何の法則？[～の法則],オーム
38,「直角三角形において、斜辺の平方は他の2辺の平方の和に等しい」、これは何の定理？[～の定理],三平方
39,絵の具で、赤と青と黄を混ぜると何色になる？[漢字一字で],黒
40,英文の終止符は「ピリオド」、では日本語の文の終止符は？,句点
41,３大生活習慣病（成人病）がん・脳卒中あと一つは？,心臓病
42,国連の機関である「世界保健機構」の略称は？,who
43,オタマジャクシからカエルに変わることを何という？,変態
44,親の体内で子どもをある程度育ててから産むことを何という？,胎生
45,相撲の三役、関脇・小結あとひとつは？,大関
46,ＤＮＡの正式名称は？,デオキシリボ核酸
47,夢を見ている状態の睡眠を何という？[～睡眠],レム
48,鉄板にスズをメッキしたものを何という？,ブリキ
49,熱の伝わり方は、伝導、放射、あと1つは？,対流
50,与謝蕪村の句「春の海ひねもすのたりのたりかな」のひねもすとは何？,一日中
51,「水戸黄門」の「黄門」とは何？,中納言
52,ロシアの通貨単位は？,ルーブル
53,子羊の肉のことをカタカナで何という？,ラム
54,バレエ音楽として有名な「白鳥の湖」の作曲者は？,チャイコフスキー
55,カボチャの原産国は？,カンボジア
56,世界で最も面積が大きい島は？,グリーンランド
57,世界で最も面積が大きい湖は？,カスピ海
58,世界で最も面積が小さい国は？,バチカン市国
59,オーストラリアの先住民は何とよばれている？,アボリジニ
60,ラテンアメリカの先住民は何とよばれている？,インディオ
61,神社の称号の「○○大社、○○神宮、○○八幡宮」で最も格式が高いのは？,神宮
62,ＣＤって何の略？,コンパクトディスク
63,「クレジットカード」の「クレジット」の本来の意味は？,信用
64,99歳のことを何という？,白寿
65,鉛筆の「ＨＢ」って何の略？[カタカナ],ハードブラック
66,ヨーグルトの上にたまる液体の名前は？,乳清
67,にしんの卵の塩干し品を何という？[ひらがな],かずのこ
68,すけとうだらの卵の塩干し品を何という？,たらこ
69,ヒトの体に最も多く含まれている重金属は？,鉄
70,桃太郎の家来になった鳥は？,キジ
71,「コットン」とは何のこと？,綿
72,ひな段に飾る花は何と何？,向かって右･･･桜、向かって左･･･橘
73,「お茶の子さいさい」の「お茶の子」とは？,お茶菓子
74,「.com」の「com」って何の略？[カタカナ],コマーシャル
75,「後の祭り」とは元々何の祭り？,祇園祭
76,ラガービールの「ラガー」は元々英語でどういう意味？,貯蔵
77,「フレンチキス」とは舌を絡める濃厚なキスである〇か×か[〇なら1×なら0],舌を絡める濃厚なキス
78,「ＶＩＰ」は何の略？[小文字空白区切り],very important person
79,「コンパ」って何の略？,カンパニー
80,「モスグリーン」の「モス」って何？,苔
81,「３つの国会」通常国会・臨時国会あとひとつは？,特別国会
82,ドボルザークの交響曲第９番「新世界より」の「新世界」とは？,アメリカ
